iter	Passed	Remaining
0	40	40474
1	55	27554
2	50	16938
3	67	16687
4	87	17454
5	105	17400
6	127	18042
7	145	17987
8	163	17989
99	202	20008110	222	20013111	237	19560112	267	20283113	286	20173114	307	20162115	326	20075116	344	19922
17	352	19250
18	381	19685
19	401	19663
20	410	19131
21	430	19151
22	452	19211
23	468	19037
24	483	18875
25	502	18818
26	517	18662
27	535	18587
28	550	18444229	570	18438330	588	18395331	605	18313332	628	18431333	650	18472
34	666	18377
35	686	18386
36	705	18368
37	732	18540
38	755	18625
39	778	18686
40	800	18715
41	812	18536
42	829	18466
43	858	18646
44	878	18646
45	898	18638
46	917	18594
47	935	18552
48	958	18605
49	978	18599
50	997	18561
51	1012	18458
52	1030	18419
53	1049	18386
54	1065	18301
55	1081	18237
56	1098	18178
57	1119	18176
58	1135	18112
59	1154	18081
60	1177	18118
61	1198	18136
62	1217	18101
63	1246	18231
64	1267	18237
65	1281	18137
66	1302	18132
67	1322	18123
68	1344	18139
69	1361	18091
70	1390	18189
71	1410	18184
72	1434	18220
73	1451	18163
74	1468	18110
75	1487	18086
76	1511	18124
77	1536	18159
78	1561	18208
79	1579	18164
80	1594	18088
81	1613	18067
82	1629	18003
83	1649	17982
84	1668	17962
85	1689	17956
86	1706	17906
87	1723	17858
88	1744	17851
89	1760	17805
90	1775	17735
91	1795	17717
92	1810	17656
93	1835	17692
94	1855	17679
95	1873	17640
96	1889	17589
97	1906	17544
98	1922	17496
99	1944	17496
100	1964	17484
101	1981	17441
102	2001	17430
103	2018	17389
104	2033	17331
105	2053	17320
106	2069	17269
107	2087	17238
108	2107	17225
109	2122	17171
110	2137	17118
111	2160	17128
112	2175	17079
113	2196	17073
114	2211	17015
115	2225	16956
116	2240	16906
117	2259	16891
118	2287	16932
119	2309	16938
120	2330	16931
121	2346	16885
122	2365	16864
123	2389	16882
124	2407	16851
125	2421	16799
126	2442	16789
127	2461	16766
128	2476	16723
129	2489	16662
130	2506	16624
131	2522	16588
132	2538	16544
133	2562	16561
134	2580	16532
135	2600	16519
136	2618	16493
137	2633	16447
138	2651	16426
139	2665	16374
140	2682	16339
141	2700	16314
142	2720	16304
143	2736	16269
144	2755	16245
145	2774	16230
146	2795	16221
147	2813	16194
148	2834	16187
149	2852	16161
150	2869	16131
151	2892	16135
152	2905	16082
153	2920	16042
154	2942	16042
155	2956	15996
156	2981	16009
157	2997	15976
158	3020	15978
159	3035	15934
160	3049	15889
161	3068	15871
162	3084	15838
163	3103	15818
164	3123	15804
165	3144	15796
166	3162	15773
167	3179	15746
168	3197	15720
169	3216	15704
170	3234	15678
171	3252	15658
172	3280	15681
173	3295	15644
174	3313	15620
175	3333	15607
176	3351	15581
177	3370	15566
178	3385	15529
179	3404	15509
180	3422	15487
181	3436	15446
182	3458	15438
183	3479	15432
184	3507	15452
185	3524	15423
186	3541	15396
187	3554	15351
188	3574	15336
189	3585	15284
190	3604	15269
191	3624	15251
192	3642	15229
193	3658	15201
194	3681	15198
195	3706	15202
196	3719	15160
197	3735	15130
198	3754	15110
199	3769	15077
200	3792	15076
201	3807	15041
202	3824	15017
203	3841	14989
204	3860	14970
205	3871	14923
206	3895	14921
207	3913	14901
208	3933	14886
209	3951	14863
210	3972	14854
211	3990	14831
212	4004	14794
213	4022	14773
214	4036	14737
215	4051	14706
216	4066	14673
217	4094	14687
218	4117	14683
219	4137	14670
220	4154	14644
221	4175	14633
222	4191	14606
223	4210	14587
224	4236	14593
225	4252	14562
226	4268	14534
227	4287	14517
228	4308	14507
229	4325	14480
230	4343	14459
231	4365	14452
232	4385	14435
233	4402	14410
234	4421	14391
235	4440	14374
236	4454	14341
237	4472	14318
238	4492	14305
239	4514	14296
240	4531	14269
241	4546	14241
242	4564	14219
243	4577	14183
244	4590	14144
245	4610	14130
246	4624	14099
247	4641	14075
248	4658	14049
249	4674	14022
250	4692	14001
251	4709	13979
252	4725	13952
253	4750	13951
254	4769	13935
255	4783	13903
256	4802	13884
257	4820	13862
258	4836	13835
259	4850	13806
260	4869	13788
261	4888	13770
262	4903	13739
263	4921	13720
264	4938	13698
265	4957	136726266	4978	136626267	4994	136426268	5012	13620
269	5032	13606
270	5052	13590
271	5071	13573
272	5087	13548
273	5106	13530
274	5128	13519
275	5147	13501
276	5165	13482
277	5193	13488
278	5208	13459
279	5225	13436
280	5242	13414
281	5263	13400
282	5281	13381
283	5297	13355
284	5312	13328
285	5327	13301
286	5345	13281
287	5363	13260
288	5380	13235
289	5395	13209
290	5413	131829291	5430	131629292	5449	131429293	5464	131229294	5489	131129295	5507	13099
296	5526	13082
297	5545	13063
298	5563	13042
299	5578	13015
300	5594	12991
301	5611	12970
302	5631	12954
303	5649	129330304	5663	129030305	5678	128730306	5692	128530307	5707	1282308	5731	12817
30309	5745	127831310	5767	127731311	5786	127531312	5801	127331313	5818	127131314	5836	1269315	5854	12671
316	5874	12656
317	5890	12633
318	5908	12612
31319	5925	1259320	5945	12575
32321	5963	125532322	5979	1253323	5998	12514
324	6016	12495
325	6033	12473
326	6053	12458
327	6072	12441
328	6094	12429
329	6112	12410
330	6128	12387
331	6144	12363
332	6163	12345
333	6183	12329
334	6202	12312
335	6222	12297
336	6239	12274
337	6254	12250
338	6273	12233
33339	6290	1221340	6307	12188
34341	6330	121734342	6348	121534343	6369	121434344	6384	121234345	6399	120934346	6414	123434347	6430	123434348	6448	123434349	6469	123535350	6484	113535351	6506	113535352	6530	11353	353	6552	113535354	6571	11939
355	6591	11924
356	6614	11912
357	6627	118835358	6647	118635359	6664	118436360	6686	11835
361	6703	11815
362	6729	11808
363	6747	11789
364	6764	11768
365	6779	11743
366	6798	11725
367	6818	11709
368	6841	11698
369	6860	11681
370	6878	11662
371	6893	11638
372	6909	11615
373	6925	115937374	6944	11573
375	6967	11562
376	6983	115337377	7006	11529
378	7022	11506
379	7044	11493
380	7062	11474
381	7086	11463
382	7098	11435
383	7116	114138384	7132	113938385	7151	11375
386	7168	11355
387	7182	11329
388	7198	113038389	7218	112939390	7238	11274
391	7254	11252
392	7272	112339393	7298	11225
394	7316	11207
395	7337	11191
396	7359	11178
397	7380	11164
398	7406	11156
399	7425	11138
400	7441	11116
401	7461	11099
402	7476	11075
403	7492	11053
404	7513	11038
405	7533	11021
406	7554	11007
407	7574	10990
408	7590	10968
409	7607	10947
410	7624	10926
411	7643	10909
412	7666	10896
413	7684	10876
414	7704	10860
415	7721	10839
416	7739	10821
417	7757	10801
418	7775	10781
419	7798	10769
420	7811	10743
421	7835	10731
422	7855	10715
423	7872	10694
424	7889	10674
425	7900	10645
426	7915	10621
427	7935	10605
428	7950	10581
429	7965	10559
430	7978	10533
431	7997	10515
432	8011	10491
433	8025	10466
434	8043	10447
435	8058	10424
436	8074	10402
437	8094	10385
438	8109	10363
439	8123	10339
440	8142	10320
441	8162	10305
442	8179	10284
443	8198	10266
444	8218	10250
445	8235	10229
446	8258	10217
447	8278	10200
448	8300	10186
449	8320	10169
450	8338	10150
451	8356	10131
452	8375	10113
453	8393	10094
454	8415	10079
455	8430	10057
456	8447	10036
457	8463	10016
458	8479	9993
459	8494	9971
460	8511	9951
461	8527	462	8462	8543	463	8463	8569	9899
464	8583	9875
465	8603	9859
466	8617	9835
467	8632	9813
468	8650	9793
469	8669	9776
470	8687	471	8471	8701	472	8472	8724	9720
473	8740	9699
474	8760	9682
475	8784	9670
476	8805	9655
477	8824	9637
478	8839	9614
479	8859	9597
480	8874	9575
481	8887	482	8482	8900	483	8483	8919	484	8484	8942	485	8485	8961	486	8486	8974	487	8487	8994	488	9488	9008	489	9489	9023	490	9490	9045	491	9491	9068	492	9492	9083	493	9493	9099	494	9120	9304
495	9138	9286
496	9153	9264
497	9169	9243
498	9187	9224
499	9499	9207	500	9500	9226	501	9501	9244	502	9502	9258	503	9503	9278	504	9504	9294	505	9505	9310	506	9506	9325	507	9507	9343	508	9363	9032
509	9384	9016
510	9406	9001
511	9425	8983
512	9442	8963
513	9462	8946
514	9476	8924
515	9493	8904
516	9512	8886
517	9528	8866
518	9545	8846
519	9563	8827
520	9583	8811
521	9600	8790
522	9621	8775
523	9644	8761
524	9661	8741
525	9680	8723
526	9704	8709
527	9721	8690
528	9734	8667
529	9754	8649
530	9769	8629
531	9792	8614
532	9808	8594
533	9829	8577
534	9852	8563
535	9863	8538
536	9879	8518
537	9897	8499
538	9912	8477
539	9933	8461
540	9949	8441
541	9967	8423
542	9985	8403
543	10004	8385
544	10025	8369
545	10045	8352
546	10061	8332
547	10080	8314
548	10099	8297
549	10116	8277
550	10136	8260
551	10148	8236
552	10166	8217
553	10185	8199
554	10203	8181
555	10219	8160
556	10237	8142
557	10254	8122
558	10272	8104
559	10291	8086
560	10308	8067
561	10332	8052
562	10348	8032
563	10370	8016
564	10390	7999
565	10408	7981
566	10426	7962
567	10445	7944
568	10462	7924
569	10479	7905
570	10496	7886
571	10514	7867
572	10532	7848
573	10548	7828
574	10566	7810
575	10583	7790
576	10605	7774
577	10625	7757
578	10641	7737
579	10658	7718
580	10678	7701
581	10699	7684
582	10717	7665
583	10739	7649
584	10758	7632
585	10776	7613
586	10792	7593
587	10821	7582
588	10845	7568
589	10867	7551
590	10882	7531
591	10899	7511
592	10912	7489
593	10930	7470
594	10948	7452
595	10972	7437
596	10989	7418
597	11007	7399
598	11024	7380
599	11046	7364
600	11066	7346
601	11079	7325
602	11098	7307
603	11116	7288
604	11134	7269
605	11150	7249
606	11164	7228
607	11180	7208
608	11195	7187
609	11210	7167
610	11227	7148
611612	11206	70612	11261	7109
613	11277	7089
614615	11255	70615616	11279	70616617	11295	69617	11351	7016
618619	11331	69619620	11351	69620621	11368	69621622	11388	68622623	11403	68623624	11421	68624625	11441	68625626	11458	68626627	11475	67627628	11493	67628629	11517	67629630	11536	67630631	11553	67631632	11567	67632633	11586	66633634	11602	66634635	11622	66635636	11639	66636637	11657	66637638	11689	66638639	11709	65639640	11727	65640641	11747	65641642	11764	65642643	11785	65643644	11799	6494
645	11817	6475
646	11841	64646647	11858	64647648	11873	64648649	11891	64649650	11905	63650651	11926	63651652	11948	63652653	11961	63653654	11978	63654655	11998	62655	12066	6327
656	12086	6309
657	12108	6293
658	12130	6276
659	12148	6258
660	12161	6237
661	12181	6219
662	12196	6199
663	12214	6180
664	12228	6160
665	12250	6143
666667	12230	60667668	12247	60668669	12264	60669670	12285	60670671	12304	60671672	12326	59672673	12343	59673674	12362	59674675	12381	59675676	12399	59676677	12421	58677678	12443	5882
679	12459	58679680	12474	58680681	12487	58681682	12503	58682	12564	5831
683	12587	5815
684	12609	5798
685	12624	5778
686	12642	5760
687	12662	5742
688	12679	5723
689	12696	5704
690	12716	5686
691	12729	5665
692	12747	5647
693	12770	5630
694	12790	5612
695	12809	5595
696	12826	5575
697	12846	5558
698	12862	5538
699	12882	5520
700	12897	5501
701	12918	5483
702	12937	5465
703	12951	5445
704	12969	5426
705	12989	5409
706	13009	5391
707	13029	5373
708	13049	5355
709	13074	5340
710	13092	5321
711	13107	5301
712	13124	5282
713	13142	5264
714	13160	5245
715	13175	5226
716	13194	5208
717	13213	5189
718	13238	5174
719	13261	5157
720	13277	5137
721	13297	5119
722	13314	5100
723	13331	5082
724	13351	5064
725	13366	5044
726	13385	5026
727	13404	5008
728	13422	4989
729	13441	4971
730	13459	4952
731	13473	4933
732	13493	4914
733	13517	4898
734	13531	4878
735	13549	4860
736	13569	4842
737	13584	4822
738	13602	4804
739	13618	4784
740	13633	4765
741	13650	4746
742	13671	4728
743	13688	4709
744	13709	4692
745	13729	4674
746	13744	4655
747	13763	4636
748	13779	4617
749	13802	4600
750	13822	4582
751	13840	4564
752	13856	4545
753	13876	4527
754	13893	4508
755	13909	4489
756	13926	4470
757	13945	4452
758	13963	4433
759	13978	4414
760	13997	4396
761	14021	4379
762	14040	4361
763	14058	4342
764	14075	4323
765	14092	4305
766	14109	4286
767	14128	4268
768	14150	4250
769	14167	4231
770	14187	4213
771	14203	4194
772	14223	4176
773	14242	4158
774	14260	4140
775	14279	4121
776	14297	4103
777	14310	4083
778	14330	4065
779	14350	4047
780	14364	4027
781	14378	4008
782	14396	3989
783	14416	3972
784	14440	3954
785	14461	3937
786	14482	3919
787	14502	3901
788	14518	3882
789	14536	3864
790	14562	3847
791	14578	3828
792	14595	3809
793	14610	3790
794	14629	3772
795	14645	3753
796	14666	3735
797	14682	3716
798	14701	3698
799	14721	3680
800	14739	3661
801	14760	3644
802	14777	3625
803	14796	3606
804	14817	3589
805	14837	3571
806	14855	3552
807	14872	3534
808	14892	3516
809	14905	3496
810	14919	3476
811	14942	3459
812	14962	3441
813	14984	3423
814	15003	3405
815	15023	3387
816	15044	3369
817	15056	3350
818	15073	3331
819	15088	3312
820	15102	3292
821	15124	3275
822	15142	3256
823	15159	3238
824	15180	3220
825	15206	3203
826	15225	3185
827	15238	3165
828	15260	3147
829	15278	3129
830	15291	3109
831	15315	3092
832	15328	3073
833	15345	3054
834	15362	3035
835	15379	3016
836	15399	2998
837	15417	2980
838	15440	2962
839	15461	2944
840	15478	2926
841	15498	2908
842	15518	2890
843	15534	2871
844	15553	2852
845	15568	2834
846	15585	2815
847	15604	2797
848	15625	2779
849	15641	2760
850	15660	2742
851	15676	2723
852	15696	2704
853	15713	2686
854	15736	2668
855	15754	2650
856	15768	2631
857	15785	2612
858	15800	2593
859	15820	2575
860	15838	2557
861	15858	2538
862	15870	2519
863	15890	2501
864	15908	2482
865	15925	2464
866	15944	2445
867	15964	2427
868	15981	2409
869	15999	2390
870	16014	2371
871	16034	2353
872	16051	2335
873	16071	2316
874	16130	2304
875876	16111	22876877	16133	22877878	16151	22878879	16172	22879880	16187	21880881	16204	21881882	16225	21882883	16242	21883884	16257	21884885	16281	20885886	16299	2076
887	16321	2058
888	16339	2040
889	16359	2021
890	16372	2002
891	16389	1984
892	16406	1965
893	16425	1947
894	16440	1928
895	16460	1910
896	16475	1891
897	16492	1873
898	16511	1855
899	16527	18899900	16540	18900	16601	1824
901902	16578	17902903	16595	19903904	16614	19904905	16637	19905906	16651	19906	16715	1713
907	16732	1695
908	16757	1677
909	16775	1659
910	16793	1640
911	16810	1622
912	16827	1603
913	16848	1585
914	16867	1566
915	16885	1548
916	16904	1530
917	16922	1511
918	16936	1492
919	16958	1474
920	16974	1456
921	16999	1438
922	17014	1419
923	17034	1401
924	17051	1382
925	17070	1364
926	17092	1345
927928	17067	13928929	17090	12929930	17110	12930931	17130	1249
932	17153	1231
933	17176	1213
934	17196	1195
935	17215	1177
936	17229	1158
937	17248	1140
938	17265	1121
939	17283	1103
940	17300	1084
941	17319	1066
942	17335	1047
943	17356	1029
944	17372	1011
945	17390	992
946	17408	974
947	17425	955
948	17442	937
949	17464	919
950	17484	900
951	17500	882
952	17519	864
953	17532	845
954	17549	826
955	17570	808
956	17587	790
957	17604	771
958	17630	753
959	17650	735
960	17665	716
961	17683	698
962	17700	680
963	17719	661
964	17739	643
965	17756	624
966	17777	606
967	17797	588
968	17818	570
969	17837	551
970	17855	533
971	17872	514
972	17894	496
973	17914	478
974	17933	459
975	17949	441
976	17964	422
977	17982	404
978	18001	386
979	18018	367
980	18033	349
981	18049	330
982	18069	312
983	18090	294
984	18108	275
985	18126	257
986	18142	238
987	18160	220
988	18175	202
989	18190	183
990	18214	165
991	18232	147
992	18252	128
993	18267	110
994	18282	91
995	18301	73
996	18323	55
997	18338	36
998	18349	18
999	18360	0
999999	18373	0
